Drug_ID,SMILES,Predicted_DTA_S1R,Predicted_DTA_DRD2,Predicted_DTA_BIP
DB00199,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,6.624149978160858,6.672587156295776,5.775434195995331
DB00201,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,5.827960729598999,5.814296245574951,5.298294305801392
DB00203,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,6.638278007507324,6.471076965332031,6.541620910167694
DB00204,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,6.458181381225586,5.877891898155212,5.933102905750275
DB00206,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,6.938737392425537,6.145595908164978,5.854986608028412
DB00208,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,7.406501531600952,6.128306567668915,6.20862078666687
DB00210,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,6.467975676059723,6.54014265537262,6.130928575992584
DB00211,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,5.545245587825775,5.540564775466919,4.822560906410217
DB00213,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,6.382863759994507,6.056647181510925,5.6090587973594666
DB00214,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,6.028138279914856,5.620736300945282,5.221526384353638
DB00215,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,6.960603356361389,7.011727333068848,6.911963999271393
DB00216,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4,6.875445365905762,6.403348445892334,6.162096798419952
DB00218,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,5.565674126148224,6.200287461280823,4.946631669998169
DB00221,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C,6.161179184913635,5.509688913822174,5.199818193912506
DB00222,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,6.396348655223846,5.513357579708099,5.159809768199921
DB00226,C1CCC2(CC1)OCC(O2)CN=C(N)N,6.000186443328857,5.5364426374435425,5.299415946006775
DB00227,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,6.113998055458069,6.073197901248932,5.086788356304169
DB00230,CC(C)C[C@@H](CC(=O)O)CN,5.537140905857086,5.261096894741058,4.351895034313202
DB00240,C[C@@H]1C[C@H]2[C@@H]3[C@@H](CC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)C)Cl,7.580308020114899,6.445054829120636,6.709652483463287
