drug_id,predicted_score
DB00014,8.005417839740403e-06
DB00035,0.7323995232582092
DB00091,0.9841469526290894
DB00122,0.20390494167804718
DB00126,6.002402130889095e-08
DB00131,0.9347670674324036
DB00136,0.8496202230453491
DB00140,4.181046460871585e-05
DB00153,0.2676360607147217
DB00162,0.9183058142662048
DB00163,0.9999473094940186
DB00165,0.9780594706535339
DB00169,0.6431491374969482
DB00175,3.6474991915724786e-09
DB00176,0.03410065174102783
DB00177,3.3382111723767594e-05
DB00178,7.354815068083553e-08
DB00179,0.000588277296628803
DB00180,1.3005937660182099e-08
DB00181,0.7998620271682739
DB00182,0.09805847704410553
DB00186,0.5883562564849854
DB00187,0.00042276427848264575
DB00188,3.0316688935272396e-05
DB00190,0.9965589642524719
DB00191,0.4927807152271271
DB00193,0.8545639514923096
DB00195,0.001175444107502699
DB00199,3.680985116716329e-08
DB00201,0.05418276786804199
DB00203,8.503013049221408e-08
DB00204,0.5954174399375916
DB00206,1.951680133061018e-05
DB00208,7.8834273153916e-05
DB00210,4.717832780443132e-05
DB00211,0.0016602000687271357
DB00213,0.02249685861170292
DB00214,3.977460139026334e-08
DB00215,0.9918941855430603
DB00216,0.0008407735731452703
DB00218,1.109601271309657e-06
DB00221,0.00021665680105797946
DB00222,0.0003257819334976375
DB00226,0.0004804350610356778
DB00227,1.6377972311687472e-09
DB00230,0.0005804650718346238
DB00240,9.076709375221981e-07
DB00241,0.9952945113182068
DB00242,7.562778137071291e-07
DB00244,0.020645810291171074
DB00245,0.8203157782554626
DB00246,0.48199477791786194
DB00248,0.9995846152305603
DB00252,0.9984354376792908
DB00255,2.946656820768112e-07
DB00257,8.68880670168437e-06
DB00262,6.750418833689764e-05
DB00264,0.00042631797259673476
DB00268,0.9999978542327881
DB00270,0.0008786316029727459
DB00273,0.9896636605262756
DB00275,5.723585218220251e-06
DB00277,9.530325041851029e-05
DB00278,0.9993605017662048
DB00279,8.124530381792283e-09
DB00280,9.823599611991085e-06
DB00281,0.005946714896708727
